key,answer_A_label,answer_B_label,winner,winner_raw,model
53a11ecfdb1262a8a2d8c5615904011e21e0cabc,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
509a4dfba9186c97928e927ce4f1a749ca78e857,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
6f944818771748659bf06c093ba1650380bc8537,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
b21056a958dd689a24b3292c19d5ee216391ff16,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
10588a39b7cb3151ca4c57467305b238209f98ad,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
6d1578458d01d71a3b13d011895a7c6cfcf416d4,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
e1ae3c0d7cd304cb836d41563e1cf966b75b93c5,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
b2b44d233482353003aeb02eeaec4fe044ad9e08,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
63399a420fbb6bb37b638b8cee0bf96820df50e7,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
34622bb8a05abb72067e706a826ecdfeeaae8b20,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
cd83d4bee3e6db34ebc7667631bf1e452ffe6c2b,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
046f79abdbcc8cc382f3ed711f9e5098af105feb,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
126c47d246d0e5d3750ba4c3220e2c18e7c2d91a,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
258223369e30ee85e6953d2e4c1f264bcb5268ab,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
6108dff8ac3407b86b1023f4078943f7b1e94950,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
f997e635040ef3637cfc790d93c1dedde8e69fec,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
31522d8266c1708d72196d1be9fdaf25649cf67a,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
e1ae062e32ed3fe572b3a33d33131959668d9894,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
c58e38f55e4af542cb9977edd3d0d6accf25c6fa,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
beecf84f8116498e5c04b6e9c7bcccfe445a67c0,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
23982e14ac1f296a68f77fae3e99503f071db14a,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
40bb85574ef25d1265c7bdd07770ce0b7a581b13,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
9a8d099d3a29557a79bee6365701dd303eda1d97,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
b8c5eccc6a48c9c45d78868a4cc34218b3b5d41f,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
460994684fbb93a90f6f1633c116e0915bd1978a,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
d9d3b7ca53272f07e979c239460f386bc73df5d0,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
8e6b20aaf95180d950dcaf8c2a19c53dc075502f,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
bf4d0932d36920d92cff66e6bcdd2093f79ba1c1,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
0662b7b780483f8d6f1b3b73c6c6a855c94b3e3b,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
e46e00f7cb3f6ad77b2cdcdd89145a2e6ba306c0,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
f042553ba19116f6665192a8521533f8625b6de1,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
3fdfdc5afda5191b96cd54b2b7521b3242309ff1,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
066674502525b1ca2a847fcf3a0601271f93934f,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
aa61f96a64a3946d808c523efe1229db6d0a9eff,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
e17edb56cb51a49fcd930d64b0d019d7b22c3b4a,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
bcedf23370980bc07630b953b4f3adf49db0c4d3,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
63593bd1941c49c6959facc384f50a1131902869,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
34ecfa1f766b9a7cee0e6a36adeb355579f8ace5,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
ca7dd69abdfa69886ee778de6a8732ac0c39becb,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
fd96e6159534c3113624f6fa4ea5bf37baabb7ba,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
cc8acb5bfbc9fcde931e7d294d639f5e88f99c6c,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
ab730f69faea66c756a97ba8bbfb80c383e1b1f0,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
d9cbc744e8b7c60d5cb5a97a85a1d15daa9db154,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
aee2b59a2ea6855780de977c2600606802f78a9a,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
fd9cfcf9c2b13898432101474d89dd9e9f052cc3,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
19d6b98f818a0cf0268402723f83c781640e349c,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
e49d19ccb25b863284b468c338626997d133f349,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
4879c54a40e952ad6f1ce9c206b691372301fc3c,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
bb564c519a451b21b1c0849adcf7413ee5cddf47,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
25e9581c65d5704405f52a5e11cde57fa4764a37,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
43297cb0fc20af5c70fc682cdb8b038b0115360a,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
99cd9894d06d996cf851cf1ce57942f642b5d2b6,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
219b1e425e5a384f1fcd0d8c35347983a70bad83,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
85be9f802be51b5ec1f3cd0f7b6523ab5d8fa41d,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
9ed020702ea87da670912a1d4b27a5c78280ce08,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
9662c84f601d5978a6ee9728537d3d2077cc70b3,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
088d219c021ccd9716006c4f57a5533e76b48518,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
7ea2a71fc553c8edfecc6cdc893aff556c48831e,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
a796de41df624b0704737f0a4dc90ce60369ada5,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
31113e032fd3c54e1bb70439cdc58c530af53768,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
0a88c922d69fc8d2a26be148e40efabd73a32e5e,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
df893d3174599b9ff4c8335a10d00f5ab0d1434e,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
946835da1bd3c64aae2c59a3ca13dd81963e303d,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
4aea9149fa31613f6e056ad86b767f3a9730d174,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
9e3975e6177e1743ad170a3f11e01541a528ac85,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
c5bdb92f132561eae8324c6805cf5a67ce01acd2,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
fe799a9bab24b19da253a0ed8fff101f2676ebf3,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
b60d184a40f747c82749d707bcf394026e6b2979,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
2150d18f11150696a60017559ed2e0af93c7458c,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
2d4cb6356c6bed042a5ec279a88f25ec44f86610,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
73266a6c8a0e47d4f19c0e1f66ce2bab946eaa07,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
b64ebae862fbc1c2abe400c131bed035e29d1e59,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
50bf717a621b1eb503f2ba9e9b007b7cec04da64,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
e31d8859680f6d3a99f9abaca2d88a9002b2ddb0,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
d1d3f4a67d2a9b918d19cb1f2c4869fe09a11a6b,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
1ed66c712052d5ab04beab8da9fa64000ad8a435,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
568038a2bc25b196654b8c011306d19be0ca90d7,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
5ae2bed7ec070062ef9cefe1270314008d2955a7,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
251fa76d2ceb42db208854764ac8131c3f210535,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
9f33fd94674e30c69800b14207fca7974e419520,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
2fd1858f77752b33c6b3e3dbd608835a5ddd5054,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
9cac30b007700133bbed715144b9d168c102aaba,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
6713e0a79f38d692759b1e4c990966e6d043b6de,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
d2ad6bc0f4a8c53b3101ea4f3d61a81de9a63a8b,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
0b5bff94c3b5dddfab4a98141e63dde57ebb8f58,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
4ec2c167df33db31702e1abf5e323703f1173c7b,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
468ccd371648d10943c0b2d48d7a2e056dfbec80,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
421920f87a924c168533f07741455614bf67f286,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
6cd7598b935ca8aaf6b37d1057132ef6b404271b,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
5d40d42cfb6b5e2b6c03abf4f43f914bc532cd83,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
66d2a68b9e81528456a07a7cc3f20c4884924ba3,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
c8f65930461805d12c8342e06a3d598b27eeb04d,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
0710947aab8de0596096e523360fe7bb7ee4c1b4,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
34f2d770bc8a574bf2e45ed7f8069e56aadbc75a,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
71a75f2c5abdbaa41089c220432432047954a518,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
25ab58f072bc8179fdbdea417211353e212b7b2a,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
841a5b673a1528685fbd1c6c8fc4a5a23f8f5f6e,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
2fb0fbcfe7a611667b7fedccf25f2542a538f46d,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
526a9ea4e41ed182409c0c1480e1cb881992a3a6,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
6ecf2718202dc6fc0202b73e94e4963fb139e9e6,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
d874ad6b0f8fc715968b68e297efc9a3b2eb057b,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
97031093f24da32ac97e9eb47d59221917abc119,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
7e83c4753fb9b375312848857c010734f03569e4,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
c071914627d09ed9f0fb2e81f31fbca2c9ab0b6e,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
0265326a244201c3849cd1e2ac3de364f27ecc17,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
3b07afd7fe7a9c3b29d056ed2a06ee4597adf359,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
a768917d04b7f70e6e8f713e8c52dab7ffbbffd8,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
392d1352d352a987ae10ad87b5cca78ed6f558cf,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
17276f4f61739877e6a2ffae06ac52fd8338bde7,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
398de056d6cdda2f80d1b7338d5ee1d2c3c38c5e,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
78894b22a48378c6989aa20a24b02e955313703b,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
abb4b5b224b0cdbfd8ae3481b1d7f823e62c4eeb,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
fcb499af2d8d55a7e83d7504b063423e64de15ae,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
6b6dffcf5becbef3198c25c9e22af564aa0a3d3a,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
a8649eb56d4d2b2bee01737ebb50f82fc10082b3,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
8a0d143156d964416987ae0f95e56ebeffd74d80,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
420e92db213b6aabdd2dd81462719edb252c08a2,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
ea96d7affe47f0b616916a5c47328f5442bd5d5e,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
dc79916e7ddf22c3efe4fef80bc4f261ab8535ed,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
4ac1599f8ecaee5b78d4f458b84f6284c28f44de,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
be1810b054e868747f990b214b98350c4a0f85a1,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
3cc68a1c740c79049d075e74c68c64d870b3a94d,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
743bf0660f4856d5e8ead9009e2d0adb284968a7,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
31cfcbf206d5818294fa5352aaf3ebf79aea4aa8,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
1025b65cb519e1f931a3c102ab15dc65735a1a5f,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
964d066a561366f269b441ed007c45a5cb1067e2,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
6a8d6971189906a7df6026af7856088fa6914394,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
25e61808a8819f15a58cee48cd1ef04c0bd2328b,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
36c9309556bcddd18b9bc61de5a4cbb7d90dd5b1,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
9528ca1cb3243d89e4c6c0fa644417e9b916f221,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
680e03aa32ccd7e12aca20ad1d59abb5b9171974,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
b33b8315b93f41c43375fb97d0113c4ffd30b2e8,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
0f02af668783a5f6c52c67dfc6f2a2e694917829,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
6365784e071e2268fc3c6fb98311dc0e04d9f385,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
b4b910e36ea6dc976cd326d323f730df727ea70d,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
46f1fdac831c20f69c096e2d479cc1ef13513bee,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
b76d17748e1fca9f059fd0f3187a8e209109a893,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
d39138720fc187f814eee01d59098a2c139da0d2,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
72224f6dc9aaf699126bf5671be00a123f30a605,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
182f8e6784ad6b9270142cd3767ea45ff530172a,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
c47b913c29d7a0f5daa9f6efdd631c2e8e465464,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
061b1ff1063805d33102c1d3d1db0cfea1228a99,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
3ed0345d4e9f84470e51f6295a4b7ed4ac76c470,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
72c8936df4b185b0c6bc2005020d7eaa2ccd8f5f,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
7b4cf239fce7b9c29a644397467cc74ebde81954,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
65bb90194ca4f562b5e0d8e54bcbc85c54abc5ec,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
aefa4d4ec011a60b5c67f10c23058221790abd18,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
1a76bb90b31e57c1efc58eb6b8885c79f83cb158,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
6a08a03a20e3fc1a232281c5b47197473ebb3f89,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
ac61ac499b7124a17dfc9727c49b75f483832f18,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
746a403e42916dcf17f508383d6501d0c9d3b7b2,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
2a8d4e4a6a4b1ac6ffe24a3fb952b244b0d65f48,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
7f446197289528132fd87143556d58cab92acf4f,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
d438d9befa90b39dea832074f2126ff67656faf1,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
9e68a7ed8af186b86e7627f32912eb1463535cd5,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
b4e993b919175ec0d2e2b9ec984f3e1a313cfb1f,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
c1e3d14534d2f5e391b618aef02dc28df6277546,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
0f55ec05913a57b65eabcc91a47a4e24978e26ea,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
42d3ce75f4b9d50e3d61e9c527cb064411bda8eb,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
543948c904314bb4fd01ac75fee53f9fa0c9ccf9,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
b33860be3425e02b29bf74a3cd552e1b6eec9ce5,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
70e0dcac0edfbd0e872fe279328f203d5fb4a654,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
8199cc724354580bc1e57908a5f44f032bc77dde,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
224b1520b2d56f616f5f5563f70f1273ec4e10d1,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
048c97b1f0dc7c9fb70f91cc53ab5d482d2f2e44,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
73de2fd9f845868e920f4df578039a32445e8b7f,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
72640821267193cc69843ddae47f4f1832fb1ddf,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
